userName,content,score
Pengguna Google,Aplikasi sangat bagus untuk cepat pesan kopi dan terpercaya,5
Pengguna Google,Sangat terpercaya untuk pesan kopi dan terdekat dijamin puas sekali,5
Pengguna Google,Baru tau kalo ada aplikasinya. Kopi yang bener bener kenangan buat saya. Jadi inget dulu sering banget ngopi bareng mantan;) Eh jadi curhat kan😅,5
Pengguna Google,"Untuk gua yg LDRan, kopi ini bener-bener buat gua inget si doi anjir wkwk. Suka deh kopi kenangannn. So, dgn app ini, gua bs pesen kopi tnpa harus buka atau cari cari lagi di go and grab! thankyouuu✨",5
Pengguna Google,Mantep bgt ni aplikasi!,5
Pengguna Google,Kopi mantap dan nikmat asli Indonesia... Banyak cabang dimana mana sukses terus kopi kenangan..,5
Pengguna Google,Rasa kopinya beda dari yang lain,5
Pengguna Google,"Cocok jadi referensi yang mau ngopi kalo lagi mager, bisa pesan lewat aplikasi ini",5
Pengguna Google,"Aplikasi ini sangat recommended, soalnya bisa mempercepat kita nyari outlet kopinya trus. Ada banyak fitur fitur menarik. Pokoknya mantul... Thanks",5
Pengguna Google,Menu untuk msukin kode reff gk ada,1
Pengguna Google,Sangat bermanfaat sekali.... 😁😁😁,5
Pengguna Google,Menarik sekali dan mudah digunakan,5
Pengguna Google,Aplikasi yg bgus Bnyak pilihan nya,5
Pengguna Google,Undang temen ga dapet apa apa.,1
Pengguna Google,mantap..ga perlu ngantri klu pengen ngopi.. tinggal klik applikasi ny aja..,5
Pengguna Google,ga perlu capek ngantri..tinggal maen kn aplikasi ny.. sampai deh.. mantap..!,5
Pengguna Google,"Kopi kenangan sangat membantu untuk solusi yang berhubungan dengan minuman kopi, dan juga ada kode buat dibagikan ke pasangan... Mantavvv",5
Pengguna Google,kode referal gabisa diklaim :(,1
Pengguna Google,Aplikasinya ngebantu bgt buat mantan saya. Buat saya juga si. hehe 👌,5
Pengguna Google,"Good app, recommended",5
Pengguna Google,Mantap aplikasinya,5
Pengguna Google,Mantap aplikasinya jadi mudah bgt pesen kopinya,5
Pengguna Google,"Bisa order lewat app tanpa harus antri dan panas2an di jalan, banyak promo dan voucher yg bisa d pake bwt para jomblo 😂",5
Pengguna Google,Wahhh dapet kopi gratisannnn hahaha semoga makin maju aplikasinya dan banyakin promonya yahhhh :),5
Pengguna Google,Aplikasinya sangat bagus. Kalo mau ngopi tinggal pesan disini tanpa perlu harus ngantri.,5
Pengguna Google,Aplikasi ini sangat membantu bisa memesan kopi tampa harus mengantri di toko kepanasan hanya perlu santai-santai di rumah.mantap lah aplikasi ini🥰,5
Pengguna Google,aplikasi nya mudah dan gampang di gunakan,5
Pengguna Google,"Aplikasi oke sekali, sangat menghibur dan juga bisa pesan kopi dengan citra rasa yang uenakk. Mantap.. Recommended buat kamu yang jomblo dan kesepian.. Wkwkwk",5
Pengguna Google,"Wew skr kopi kenangan berasa ada di rumah sendiri,tinggal pesen ga perlu keluarin kendaraan..nemenin nonton bola ga pake skip segala...sukses terus kopikenangan",5
Pengguna Google,Mempermudah dalam pemesanan. Good!!,5
Pengguna Google,"Kopi kenangan sangat enak,banyak piliham rasa.kita tidak perlu pergi ke luar untuk memesan kopi kenangan,cukup lewat aplikasi kopi kenangan.",5
Pengguna Google,Aplikasi yang memudahkan kita untuk memesan kopi tanpa ke storenya.Dan waktu pengambilan kopinya bisa disesuaikan dengan keinginan kita..,5
Pengguna Google,Keren banget. Banyak pilihan dan bisa langsung pickup.. Pembayaran nya juga mudah Sukses selalu,5
Pengguna Google,Aplikasi yg sangat bagus dan juga membantu memesan minuman di store tanpa harus mengantri lagi 👍,5
Pengguna Google,Mantap terobosan terbaru cara membeli kopi Juga bisa nostalgia mantan 😁,5
Pengguna Google,Ga ribet ribet antri buat dapetin kopi kenangan lewat aplikasi ini. Gampang digunain + recomended banget buat di download.,5
Pengguna Google,Tidak perlu antri,5
Pengguna Google,Aplikasi ini sangat membatu sehingga kita tidak dapat lagi mengantri tinggal order langsung di bikinin,5
Pengguna Google,"Kopi take away dengan signature yang melebihi ekspetasi, semoga dapat terus memperkaya varian - varian rasa baru yang dapat mewakili perasaan kita semua😁",5
Pengguna Google,Aplikasi nya sangat membantu saat males buat kemana mana jadi simple buat ngopi,5
Pengguna Google,"Kalo lagi pengen ngopi sm mantan pacar langsung deh pesen di aplikasi ini, bener2 buat hidup jd mudah haha luv ^^",5
Pengguna Google,terbaik,5
Pengguna Google,Pengganti kartu member.. kereeen bgt lah aplikasinya.. mudah d fahami jga.. jd lebih mudah beli kopi nya..,5
Pengguna Google,Apk ok banget,5
Pengguna Google,Pemesanan cepat bisa langsung pickup. Mudah sekali Pokoknya rekomended banget deh,5
Pengguna Google,3uxpas masukin sebelum daftar biar dapet kopi gratis cuy,5
Pengguna Google,Good aplication,5
Pengguna Google,"Aplikasi unik, simple, user friendly",5
Pengguna Google,"Ajib , makin keren aja nih kopi kenangan ... bener2 bikin kenangan , aplikasi user-friendly., ntaps",5
Pengguna Google,"Cakepan yg dulu,,, yg baru logout mulu, tlg di perbaiki",1
Pengguna Google,"Ngopi enak, nyari yang byk promo nya juga.. yaaa kopi kenangan lah.. nagih pokonya",5
Pengguna Google,Kopi kenangan....sejuta kenangan tak kan terlupakan. Mantul beb,5
Pengguna Google,"Aplikasi nya sangat membantu sekali dan gak bikin ribet, kini ngopi tinggal klik aja disini",5
Pengguna Google,Mantap kopi sangat enak semoga lebih banyak tersebar store lainnya.,5
Pengguna Google,Bagus,5
Pengguna Google,Aplikasi ini bagus banget.. gampang makenya jg ada kopi favorit aku.. suka deh pokoknya,5
Pengguna Google,Rasanya ngangenin,5
Pengguna Google,Aplikasi yang rekomendasi buat kamu para pecinta kopi,5
Pengguna Google,"Terbaik sih, jadi lebih gampang gitu tau lokasi terdekat dari outletnya.",4
Pengguna Google,Sekarang udah gak perlu kepanasan karna ngantri kopi kenangan aplikasi ini sangat membantu saya terima kasih banyak,5
Pengguna Google,"Aplikasi yang sangat membantu,. Pesan kopi jadi lebih mudah,. Kopi kenangan mantaaaappp jiwwaaaa...",5
Pengguna Google,Applikasinya sangat membantu untuk kita yang terburu buru karna bisa pick up dan diambil sesuai waktu,5
Pengguna Google,"Aplikasi ini praktis utk digunakan, semoga kopi kenangan selalu memberikan kenangan yang membekas dalam hati :)",5
Pengguna Google,Bagus Mempermudah Untuk Minum Kopi Tinggal pesen lewat aplikasi Dan Kopi pun langsung siap 😁😁,5
Pengguna Google,aplikasi yg membantu apabila ingin memesan di store🙏,5
Pengguna Google,Aplikasi yang sangat berguna dan membantu,5
Pengguna Google,Mantul aplikasi.nya jadi Ndak ribet kalau pesen dan Ndak pakek antri lagi,5
Pengguna Google,Wah keren nihh kopi kenangan udah ada di appstore,5
Pengguna Google,Good,5
Pengguna Google,"Mantab app ini,pas bgt bagi pecinta kopi",5
Pengguna Google,Pake aplikasi ini lebih mudah dan gampang buat pesan kopi.,5
Pengguna Google,"aplikasi bagus,ringan dan mudah digunakan. Pesan lewat aplikasi jadi lebih mudah,tinggal pilih datang dan ambil pesanan.mantap",5
Pengguna Google,"Bagus, kopi senikmat hidup.. Aplikasi jos.",5
Pengguna Google,"Lebih gampang pesen kopi, apalagi buat nyantai pas banget minum kopi kenangan sambil inget kenangan indah",5
Pengguna Google,Sekarang gampang pesan kopi kenangan dengan mudah pake aplikasinya.. dengan penggunaannya yang praktis dan gak ribet. mantap deh 👍,5
Pengguna Google,Membantu banget untuķ order biar ga repot repot antriii 😍suka bangettt...tq ya udah dibuatin aplikasinya jadi tinggal pesen aja dimana pun dan kapan pun 😍😊🥰,5
Pengguna Google,"Kopi Kenangan ♥️ emang selalu bisa bikin kenangan di hati ini 😍 demen bgt, apalagi udah ada aplikasi nya gini jadi gampang buat pesen kopi kenangan tiap saat 😀",5
Pengguna Google,"Pada aplikadi ini jadi sangat mudah untuk memilih pesanan, apa lg klo kita sdh order melalui aplikasi jd lbh diutamakan sm petugasnya. Mempercepat pembelian. Sukses trs dn tambh trs varian rasanyanya biar kukenang selalu",5
Pengguna Google,Pake aplikasi ini lebih mudah dan gampang pesan kopi kenangan 😍😍,5
